NMR,01-09-2023,5.84
NMR,02-09-2023,5.92
NMR,03-09-2023,5.89
NMR,04-09-2023,5.90
NMR,05-09-2023,5.99
NMR,06-09-2023,6.05
NMR,07-09-2023,6.08
NMR,08-09-2023,6.09
NMR,09-09-2023,6.14
NMR,10-09-2023,6.16
NMR,11-09-2023,6.10
NMR,12-09-2023,6.19
NMR,13-09-2023,6.14
NMR,14-09-2023,6.10
NMR,15-09-2023,6.14
NMR,16-09-2023,6.22
NMR,17-09-2023,6.30
NMR,18-09-2023,6.29
NMR,19-09-2023,6.35
NMR,20-09-2023,6.39
NMR,21-09-2023,6.42
NMR,22-09-2023,6.41
NMR,23-09-2023,6.47
NMR,24-09-2023,6.48
NMR,25-09-2023,6.57
NMR,26-09-2023,6.57
NMR,27-09-2023,6.53
NMR,28-09-2023,6.60
NMR,29-09-2023,6.57
NMR,30-09-2023,6.60
NMR,01-10-2023,6.65
NMR,02-10-2023,6.71
NMR,03-10-2023,6.74
NMR,04-10-2023,6.68
NMR,05-10-2023,6.69
NMR,06-10-2023,6.64
NMR,07-10-2023,6.66
NMR,08-10-2023,6.63
NMR,09-10-2023,6.60
NMR,10-10-2023,6.66
NMR,11-10-2023,6.66
NMR,12-10-2023,6.64
NMR,13-10-2023,6.70
NMR,14-10-2023,6.66
NMR,15-10-2023,6.70
NMR,16-10-2023,6.79
NMR,17-10-2023,6.84
NMR,18-10-2023,6.83
NMR,19-10-2023,6.84
NMR,20-10-2023,6.86
NMR,21-10-2023,6.95
NMR,22-10-2023,6.95
NMR,23-10-2023,6.92
NMR,24-10-2023,6.95
NMR,25-10-2023,6.98
NMR,26-10-2023,7.00
NMR,27-10-2023,6.96
NMR,28-10-2023,6.99
NMR,29-10-2023,7.02
NMR,30-10-2023,6.95
NMR,31-10-2023,6.95
NMR,01-11-2023,6.94
NMR,02-11-2023,6.90
NMR,03-11-2023,6.98
NMR,04-11-2023,6.97
NMR,05-11-2023,7.07
NMR,06-11-2023,7.08
NMR,07-11-2023,7.07
NMR,08-11-2023,7.11
NMR,09-11-2023,7.07
NMR,10-11-2023,7.16
NMR,11-11-2023,7.13
NMR,12-11-2023,7.19
NMR,13-11-2023,7.27
NMR,14-11-2023,7.22
NMR,15-11-2023,7.20
NMR,16-11-2023,7.28
NMR,17-11-2023,7.38
NMR,18-11-2023,7.38
NMR,19-11-2023,7.44
NMR,20-11-2023,7.47
NMR,21-11-2023,7.50
NMR,22-11-2023,7.44
NMR,23-11-2023,7.41
NMR,24-11-2023,7.44
NMR,25-11-2023,7.48
NMR,26-11-2023,7.44
NMR,27-11-2023,7.38
NMR,28-11-2023,7.46
NMR,29-11-2023,7.52
NMR,30-11-2023,7.47
NMR,01-12-2023,7.54
NMR,02-12-2023,7.52
NMR,03-12-2023,7.49
NMR,04-12-2023,7.46
NMR,05-12-2023,7.43
NMR,06-12-2023,7.52
NMR,07-12-2023,7.55
NMR,08-12-2023,7.63
NMR,09-12-2023,7.58
NMR,10-12-2023,7.52
NMR,11-12-2023,7.61
NMR,12-12-2023,7.66
NMR,13-12-2023,7.64
NMR,14-12-2023,7.60
NMR,15-12-2023,7.62
